ID,Date,Open,High,Low,Close,Vol.,Change %
849,2015-10-28,14.5,14.8,14.5,14.55,9800000,0.0034
850,2015-10-29,14.5,14.6,14.25,14.4,5930000,-0.0103
851,2015-10-30,14.2,14.5,14.2,14.35,8010000,-0.0035
852,2015-11-2,14.4,14.5,14.25,14.35,644100,0.0000
853,2015-11-3,14.35,14.5,14,14.45,30950000,0.0070
854,2015-11-4,14.05,14.5,14.05,14.3,3820000,-0.0104
855,2015-11-5,14.35,15.1,14.35,14.95,16310000,0.0455
856,2015-11-6,15,15.15,15,15.05,2390000,0.0067
857,2015-11-9,15.05,15.25,14.95,15.05,2940000,0.0000
858,2015-11-10,15.05,15.75,15.05,15.45,6500000,0.0266
859,2015-11-11,15.5,16,15.45,15.85,4490000,0.0259
860,2015-11-12,15.5,16.2,15.5,16.05,7800000,0.0126
861,2015-11-13,16.05,16.5,15.85,16,5330000,-0.0031
862,2015-11-16,16.1,16.15,16.05,16.05,10730000,0.0031
863,2015-11-17,16.05,16.3,16.05,16.15,3060000,0.0062
864,2015-11-18,16.15,16.5,16.1,16.25,5620000,0.0062
865,2015-11-19,16.3,16.6,16.2,16.5,13860000,0.0154
866,2015-11-20,16.55,16.95,16.5,16.65,4060000,0.0091
867,2015-11-23,16.8,16.95,16.35,16.75,8600000,0.0060
868,2015-11-24,16.3,16.5,16,16.25,15360000,-0.0299
869,2015-11-25,16.5,16.5,15.5,16.05,2980000,-0.0123
870,2015-11-27,16,16.1,14.5,15.35,4640000,-0.0436
871,2015-11-30,15.6,15.9,15.3,15.55,15520000,0.0130
872,2015-12-1,15.6,15.75,15.5,15.65,4230000,0.0064
873,2015-12-2,15.6,16.2,15.55,15.85,5410000,0.0128
874,2015-12-3,15.75,16,15.6,15.7,1640000,-0.0095
875,2015-12-4,15.7,15.85,15.5,15.55,8470000,-0.0096
876,2015-12-7,15.95,15.95,15.6,15.7,21240000,0.0096
877,2015-12-8,15.7,16,15.7,15.95,9250000,0.0159
878,2015-12-9,16.05,16.25,15.75,16.1,4130000,0.0094
879,2015-12-10,16,16.25,15.95,16.15,5400000,0.0031
880,2015-12-11,16.1,16.4,16,16.25,9030000,0.0062
881,2015-12-14,16.1,16.65,16,16.4,11070000,0.0092
882,2015-12-15,16.35,16.5,16.3,16.4,8490000,0.0000
883,2015-12-16,16.5,16.9,16.2,16.7,8300000,0.0183
884,2015-12-17,16,16.7,15.9,16.6,10870000,-0.0060
885,2015-12-18,16.6,16.8,16.3,16.7,6650000,0.0060
886,2015-12-21,16.8,16.9,16.5,16.7,6630000,0.0000
887,2015-12-22,16.7,16.8,15.8,16.7,9040000,0.0000
888,2015-12-23,16,16.5,15.85,16.1,979100,-0.0359
889,2015-12-24,16,16.2,15.75,15.9,856200,-0.0124
890,2015-12-28,15.9,16,15.9,15.9,279400,0.0000
891,2015-12-29,15.9,16.3,15.9,16.1,2960000,0.0126
892,2015-12-30,16.05,16.5,16,16.25,623400,0.0093
893,2015-12-31,0,16.5,16.5,16.5,309200,0.0154
894,2016-1-4,16.3,16.7,16.05,16.35,1640000,-0.0091
895,2016-1-5,16.2,16.55,16.2,16.35,9800000,0.0000
896,2016-1-6,16.4,16.75,16.4,16.6,5170000,0.0153
897,2016-1-7,16.6,16.7,16.5,16.5,1550000,-0.0060
898,2016-1-8,16.5,16.5,16.2,16.4,6270000,-0.0061
899,2016-1-11,16.25,16.4,16,16.25,9230000,-0.0091
900,2016-1-12,16.05,16.1,15.9,16,6670000,-0.0154
901,2016-1-13,16,16.2,15.85,16.1,1530000,0.0063
902,2016-1-14,16.1,16.15,16,16.05,5250000,-0.0031
903,2016-1-15,16,16.15,16,16.1,3320000,0.0031
904,2016-1-18,16.1,16.2,16.1,16.1,1240000,0.0000
905,2016-1-19,16.1,16.2,15.9,16.1,22760000,0.0000
906,2016-1-20,16,16,15.45,15.75,7620000,-0.0217
907,2016-1-21,15.7,15.75,15,15.25,2930000,-0.0317
908,2016-1-22,15.4,15.4,15,15.1,5480000,-0.0098
909,2016-1-25,15.1,15.4,15.05,15.25,4810000,0.0099
910,2016-1-26,15.25,15.35,15.25,15.25,11480000,0.0000
911,2016-1-27,15.3,15.3,15.1,15.15,4890000,-0.0066
912,2016-1-28,15.15,15.25,15.1,15.15,3590000,0.0000
913,2016-1-29,15.2,15.3,15.15,15.15,2960000,0.0000
914,2016-2-1,15.1,16.1,15.1,15.55,4750000,0.0264
915,2016-2-2,15.55,16.5,15.5,16,7260000,0.0289
916,2016-2-3,16,17,15.7,16.7,9290000,0.0438
917,2016-2-4,16.4,16.5,15.65,16.25,11750000,-0.0269
918,2016-2-5,16.25,16.5,16,16.2,9180000,-0.0031
919,2016-2-8,16,16.2,15.9,16.15,1790000,-0.0031
920,2016-2-9,16.1,16.1,15.6,16,13410000,-0.0093
921,2016-2-10,16,16,15.55,15.75,3230000,-0.0156
922,2016-2-11,16,16,15.55,15.65,9010000,-0.0063
923,2016-2-12,15.7,15.95,15.65,15.8,10360000,0.0096
924,2016-2-15,15.8,15.95,15.7,15.75,491400,-0.0032
925,2016-2-16,15.8,15.85,15.5,15.7,10660000,-0.0032
926,2016-2-17,15.6,15.65,15.5,15.55,4390000,-0.0096
927,2016-2-18,15.55,15.85,15.5,15.6,16440000,0.0032
928,2016-2-19,15.6,16,15.6,15.85,349100,0.0160
929,2016-2-22,15.65,15.9,15.6,15.7,492300,-0.0095
930,2016-2-23,15.7,16,15.65,15.95,1550000,0.0159
931,2016-2-24,15.75,16.15,15.75,16,9880000,0.0031
932,2016-2-25,16.05,16.2,16,16.05,2720000,0.0031
933,2016-2-26,16.1,16.45,16,16.1,1510000,0.0031
934,2016-2-29,16.2,16.5,16.05,16.2,1830000,0.0062
935,2016-3-1,16.2,16.3,16.1,16.15,4320000,-0.0031
936,2016-3-2,16.15,16.65,16.15,16.55,12240000,0.0248
937,2016-3-3,16.7,17.25,16.2,16.9,26790000,0.0211
938,2016-3-4,16.5,17.05,16.3,17,4950000,0.0059
939,2016-3-7,16.9,17.05,16.2,17,13540000,0.0000
940,2016-3-8,16.6,16.7,16.4,16.5,14870000,-0.0294
941,2016-3-9,16.5,16.5,16.35,16.45,5780000,-0.0030
942,2016-3-10,16.4,16.45,16.15,16.25,14680000,-0.0122
